_id,id,idPullRequest,idRepository,sentiment,createdAt
5fa16349c76f188ef5d767c2,MDEyOklzc3VlQ29tbWVudDU5MzQxODIyMA==,MDExOlB1bGxSZXF1ZXN0MzgyMzI3OTk3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,02/03/20 11:22
5fa16349c76f188ef5d767ca,MDEyOklzc3VlQ29tbWVudDU5Mzc4MDQ1NQ==,MDExOlB1bGxSZXF1ZXN0MzgyMzI3OTk3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,02/03/20 11:22
5fa1634ac76f188ef5d7682e,MDEyOklzc3VlQ29tbWVudDU5MzkxOTEzOQ==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 06:10
5fa1634ac76f188ef5d76836,MDEyOklzc3VlQ29tbWVudDU5NDA1NTM4Mw==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 06:10
5fa1634ac76f188ef5d7683e,MDEyOklzc3VlQ29tbWVudDU5NjE1NDUyOQ==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 06:10
5fa1634ac76f188ef5d76846,MDEyOklzc3VlQ29tbWVudDU5NjE2MzU4MQ==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 06:10
5fa1634ac76f188ef5d76850,MDEyOklzc3VlQ29tbWVudDU5NjE2Njc5Ng==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 06:10
5fa1634ac76f188ef5d76859,MDEyOklzc3VlQ29tbWVudDU5NjYxNjQ2NA==,MDExOlB1bGxSZXF1ZXN0MzgyNzYzMDQ5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,03/03/20 06:10
5fa1634cc76f188ef5d76932,MDEyOklzc3VlQ29tbWVudDU5Mzk4MjM2NA==,MDExOlB1bGxSZXF1ZXN0MzgyOTM0MzE5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 12:53
5fa1634cc76f188ef5d76943,MDEyOklzc3VlQ29tbWVudDU5Mzk5MzExMw==,MDExOlB1bGxSZXF1ZXN0MzgyOTM0MzE5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,2,03/03/20 12:53
5fa1634cc76f188ef5d7694c,MDEyOklzc3VlQ29tbWVudDU5Mzk5NTg1Mw==,MDExOlB1bGxSZXF1ZXN0MzgyOTM0MzE5,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,03/03/20 12:53
5fa1634dc76f188ef5d76b22,MDEyOklzc3VlQ29tbWVudDU5Mzk2NjIzOA==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 13:39
5fa1634dc76f188ef5d76b32,MDEyOklzc3VlQ29tbWVudDU5Mzk2OTU4Nw==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 13:39
5fa1634ec76f188ef5d76b41,MDEyOklzc3VlQ29tbWVudDU5Mzk3MDYyMA==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 13:39
5fa1634ec76f188ef5d76b4b,MDEyOklzc3VlQ29tbWVudDU5Mzk3MTA5OQ==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 13:39
5fa1634ec76f188ef5d76b5a,MDEyOklzc3VlQ29tbWVudDU5NDA1NjI1Ng==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,03/03/20 13:39
5fa1634ec76f188ef5d76b67,MDEyOklzc3VlQ29tbWVudDU5NDA3MTAyOA==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 13:39
5fa1634ec76f188ef5d76b73,MDEyOklzc3VlQ29tbWVudDY4MzQxNDg0Ng==,MDExOlB1bGxSZXF1ZXN0MzgyOTU2NzQ0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,03/03/20 13:39
5fa1634fc76f188ef5d76c4b,MDEyOklzc3VlQ29tbWVudDYwNTAzMDcxOQ==,MDExOlB1bGxSZXF1ZXN0MzgzNTczNTIx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,04/03/20 13:59
5fa1634fc76f188ef5d76c53,MDEyOklzc3VlQ29tbWVudDYwNjA1MzA1Mw==,MDExOlB1bGxSZXF1ZXN0MzgzNTczNTIx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,04/03/20 13:59
5fa16351c76f188ef5d76d67,MDEyOklzc3VlQ29tbWVudDU5NTM2MzU1Ng==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 07:39
5fa16351c76f188ef5d76d6f,MDEyOklzc3VlQ29tbWVudDU5NTQxNDMwOA==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 07:39
5fa16351c76f188ef5d76d79,MDEyOklzc3VlQ29tbWVudDU5NTYxNjUzMA==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 07:39
5fa16351c76f188ef5d76d81,MDEyOklzc3VlQ29tbWVudDU5NTYxNzM3NA==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 07:39
5fa16351c76f188ef5d76d89,MDEyOklzc3VlQ29tbWVudDU5NTYxNzg0OA==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 07:39
5fa16351c76f188ef5d76d91,MDEyOklzc3VlQ29tbWVudDU5NTYxODc5OQ==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,05/03/20 07:39
5fa16351c76f188ef5d76d9a,MDEyOklzc3VlQ29tbWVudDU5NTYyNDc1NA==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,05/03/20 07:39
5fa16351c76f188ef5d76db4,MDEyOklzc3VlQ29tbWVudDU5NTYyNTAxMw==,MDExOlB1bGxSZXF1ZXN0Mzg0MTE1MDE0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,05/03/20 07:39
5fa16353c76f188ef5d76f55,MDEyOklzc3VlQ29tbWVudDU5NTI1ODM4OQ==,MDExOlB1bGxSZXF1ZXN0Mzg0MzA3MDA3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,-1,05/03/20 14:27
5fa16353c76f188ef5d76f65,MDEyOklzc3VlQ29tbWVudDU5NTI2MjM5MA==,MDExOlB1bGxSZXF1ZXN0Mzg0MzA3MDA3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 14:27
5fa16353c76f188ef5d76f6e,MDEyOklzc3VlQ29tbWVudDU5NTI2MzI2MA==,MDExOlB1bGxSZXF1ZXN0Mzg0MzA3MDA3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 14:27
5fa16353c76f188ef5d76f7d,MDEyOklzc3VlQ29tbWVudDU5NTI2NTI5Nw==,MDExOlB1bGxSZXF1ZXN0Mzg0MzA3MDA3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,05/03/20 14:27
5fa16353c76f188ef5d76f8d,MDEyOklzc3VlQ29tbWVudDYwNDY1MDg5OQ==,MDExOlB1bGxSZXF1ZXN0Mzg0MzA3MDA3,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,05/03/20 14:27
5fa16355c76f188ef5d77126,MDEyOklzc3VlQ29tbWVudDU5NjEyOTU4NQ==,MDExOlB1bGxSZXF1ZXN0Mzg1MDAzMzMx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,2,06/03/20 20:16
5fa16355c76f188ef5d7712e,MDEyOklzc3VlQ29tbWVudDU5NzI5MTc4Mg==,MDExOlB1bGxSZXF1ZXN0Mzg1MDAzMzMx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,06/03/20 20:16
5fa16355c76f188ef5d77136,MDEyOklzc3VlQ29tbWVudDU5NzQ0MzY2NA==,MDExOlB1bGxSZXF1ZXN0Mzg1MDAzMzMx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,06/03/20 20:16
5fa16355c76f188ef5d7713e,MDEyOklzc3VlQ29tbWVudDU5NzYxNTQ4Ng==,MDExOlB1bGxSZXF1ZXN0Mzg1MDAzMzMx,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,1,06/03/20 20:16
